part_number,manufacturer,sell_price,quantity_available,margin_percent,cost_price,cert available,leadtime
BACB30VF4K9,,5.79,0,,,Mfg CoC,3 weeks
BACB30VT5HK8,,0,0,,,Mfg CoC,
BACB30VT6K10,,0,0,,,Mfg CoC,
BACB30VT6K2,,0.75,0,,,Mfg CoC,3 weeks
BACB30VT8K10,,0,0,,,Mfg CoC,
BACB30VT8K11,,2.51,0,,,Mfg CoC,3 weeks
BACB30VT8K46,,0,0,,,Mfg CoC,
BACB30VT8K9,,2.24,0,,,Mfg CoC,3 weeks
BACB30XD3K10,,0,0,,,Mfg CoC,
BACB30XD3K11,,1.19,0,,,Mfg CoC,3 weeks
BACB30XD3K12,,0,0,,,Mfg CoC,
BACB30XD3K3,,0,0,,,Mfg CoC,
BACB30XD3K4,,0.9,0,,,Mfg CoC,3 weeks
BACB30XD3K5,,1.12,0,,,Mfg CoC,3 weeks
BACB30XD3K6,,0,0,,,Mfg CoC,
BACB30XD3K7,,0,0,,,Mfg CoC,
BACB30XD3K8,,0,0,,,Mfg CoC,
BACB30XD4K10,,1.85,0,,,Mfg CoC,3 weeks
BACB30XD4K11,,1.12,0,,,Mfg CoC,3 weeks
BACB30XD4K5,,2.95,0,,,Mfg CoC,3 weeks
BACB30YK8K7,,4.78,0,,,Mfg CoC,3 weeks
BACB30YP5K5,,0.81,0,,,Mfg CoC,3 weeks
BACB30YP5K6,,0,0,,,Mfg CoC,
BACB30YP6K4,,0.95,0,,,Mfg CoC,3 weeks
BACB30YP6K5,,0.84,0,,,Mfg CoC,3 weeks
BACB30YP6K7,,0.74,0,,,Mfg CoC,3 weeks
BACB30YP8K6,,1.3,0,,,Mfg CoC,3 weeks
BACB30ZE3-10,,2.34,0,,,Mfg CoC,3 weeks
BACB30ZE3-4,,1.56,0,,,Mfg CoC,3 weeks
BACB30ZE3-5,,0,0,,,Mfg CoC,
BACB30ZE3-6,,0,0,,,Mfg CoC,
BACB31A3-4,,0,0,,,Mfg CoC,
BACB31U3K4N,,0,0,,,Mfg CoC,
BACB31U3K4W,,4.23,0,,,Mfg CoC,3 weeks
BACB31U3K5N,,0,0,,,Mfg CoC,
BACB31U3K5W,,3.49,0,,,Mfg CoC,3 weeks
BACB31U3K6W,,0,0,,,Mfg CoC,
BACB31U3K7W,,4.29,0,,,Mfg CoC,3 weeks
BACB31U3K8,,1.18,0,,,Mfg CoC,3 weeks
BACB31U3K9,,1.86,0,,,Mfg CoC,3 weeks
BACB31V41-13W,,0,0,,,Mfg CoC,
BACB31V41-14W,,4.36,0,,,Mfg CoC,3 weeks
BACC30AB5A,,0,0,,,Mfg CoC,
BACC30AB5C,,13.75,0,,,Mfg CoC,3 weeks
BACC30AB5S,,0,0,,,Mfg CoC,
BACC30AB6A,,0,0,,,Mfg CoC,
BACC30AB6SY,,4.6,0,,,Mfg CoC,3 weeks
BACC30AB8S,,0,0,,,Mfg CoC,
BACC30AC6,,0,0,,,Mfg CoC,
BACC30BH10,,0,0,,,Mfg CoC,
BACC30BH5,,2.09,0,,,Mfg CoC,3 weeks
BACC30BH6,,0,0,,,Mfg CoC,
BACC30BH8,,3.2,0,,,Mfg CoC,3 weeks
BACC30BH8S,,1.59,0,,,Mfg CoC,3 weeks
BACC30BL12,,1.07,0,,,Mfg CoC,3 weeks
BACC30BL5,,0.24,0,,,Mfg CoC,3 weeks
BACC30BL6,,0.25,0,,,Mfg CoC,3 weeks
BACC30BL8,,0,0,,,Mfg CoC,
BACC30BQ8,,3.73,0,,,Mfg CoC,3 weeks
BACC30BS5S,,0,0,,,Mfg CoC,
BACC30BS6S,,0,0,,,Mfg CoC,
BACC30CP6K,,3.35,0,,,Mfg CoC,3 weeks
BACC30M6,,0,0,,,Mfg CoC,
BACC30M8,,0,0,,,Mfg CoC,
BACC30R8,,0.63,0,,,Mfg CoC,3 weeks
BACN10HR8CD,,0,0,,,Mfg CoC,
BACN10JC08CM,,0.7,0,,,Mfg CoC,3 weeks
BACN10JC3CD,,0.72,12,,,Mfg CoC,3 weeks
BACN10JR3CFD,,0,0,,,Mfg CoC,
BACN10JR3CFM,,0,0,,,Mfg CoC,
BACN10JZ3A2CDMU,,0,0,,,Mfg CoC,
BACN10JZ3A2U,,0,0,,,Mfg CoC,
BACN10KE3B2CD,,0.75,0,,,Mfg CoC,3 weeks
BACN10KE3B4CD,,0,0,,,Mfg CoC,
BACN10VR3CG,,0,0,,,Mfg CoC,
BACN10YD6,,1.39,0,,,Mfg CoC,3 weeks
BACN10YR08CD,,0.42,0,,,Mfg CoC,3 weeks
BACN10YR3CM,,0.48,0,,,Mfg CoC,3 weeks
BACN10YR4CD,,0.43,0,,,Mfg CoC,3 weeks
BACN10YT3CSA,,0,0,,,Mfg CoC,
BACN10ZV3,,0,0,,,Mfg CoC,
BACN10ZV4,,0,0,,,Mfg CoC,
BACN11G3A3CD,,1.88,0,,,Mfg CoC,3 weeks
BACN11K1CD,,2.03,0,,,Mfg CoC,3 weeks
BACN11K3CD,,0,0,,,Mfg CoC,
BACR11AW3A,,3.71,0,,,Mfg CoC,3 weeks
BACR15DR3-2,,0,0,,,Mfg CoC,
BACR15DR3-5,,1.66,0,,,Mfg CoC,3 weeks
BACR15DR3AC4,,0.53,0,,,Mfg CoC,3 weeks
BACR15DR3AC5,,0,0,,,Mfg CoC,
BACR15DR3AC6,,0.3,0,,,Mfg CoC,3 weeks
BACR15DR3AC8,,0,0,,,Mfg CoC,
BACR15DR3AN5,,0.73,0,,,Mfg CoC,3 weeks
BACR15GA5-6B,,2.17,0,,,Mfg CoC,3 weeks
BACR15GA5-7,,0,0,,,Mfg CoC,
BACR15GA5-7B,,0,0,,,Mfg CoC,
BACR15GA5-8,,1.02,0,,,Mfg CoC,3 weeks
BACR15GA5-9B,,0.71,0,,,Mfg CoC,3 weeks
